date,temperature,pressure,wind_speed,humidity,precipitation
2024-09-01,4,1011,15.6,47.3,-6.3
2024-09-02,6,1003,5.9,48.6,43.5
2024-09-03,4,1002,13.0,92.9,29.7
2024-09-04,11,987,13.7,56.8,19.6
2024-09-05,4,978,2.9,16.0,16.9
2024-09-06,6,989,2.3,9.2,14.0
2024-09-07,4,997,26.4,63.8,43.1
2024-09-08,8,986,0.1,75.8,31.5
2024-09-09,5,1017,23.5,37.9,28.0
2024-09-10,9,997,6.7,61.0,11.7
2024-09-11,6,999,31.0,31.1,31.0
2024-09-12,2,981,5.3,84.0,30.3
2024-09-13,6,1000,12.8,64.1,25.2
2024-09-14,8,980,19.5,57.7,33.7
2024-09-15,9,1009,18.5,19.3,29.5
2024-09-16,10,991,24.2,29.2,48.2
2024-09-17,11,985,25.9,74.9,14.3
2024-09-18,10,1006,12.5,4.5,33.7
2024-09-19,4,1007,19.3,100.8,1.4
2024-09-20,6,991,20.1,64.3,11.3
2024-09-21,5,1013,8.8,39.1,23.1
2024-09-22,9,1004,6.4,16.5,39.7
2024-09-23,5,1003,4.0,1.2,24.2
2024-09-24,5,1005,19.1,21.2,25.1
2024-09-25,7,1011,-1.1,75.7,23.0
2024-09-26,8,1003,-0.6,33.9,25.1
2024-09-27,7,1015,7.7,38.8,3.4
2024-09-28,3,1004,3.4,40.2,10.8
2024-09-29,4,985,26.2,14.2,12.4
2024-09-30,5,1004,29.7,-4.4,54.0
