date,temperature,pressure,wind_speed,humidity,precipitation
2025-01-01,-6,1003,23.3,37.5,36.2
2025-01-02,-13,996,19.0,31.4,11.7
2025-01-03,-16,975,20.2,56.2,-3.8
2025-01-04,-20,1009,30.3,-2.0,38.1
2025-01-05,-17,1005,31.0,3.4,26.9
2025-01-06,-21,1003,12.0,56.7,31.1
2025-01-07,-25,1005,4.2,43.5,21.5
2025-01-08,-30,1002,26.7,73.4,31.9
2025-01-09,-32,1011,25.6,68.3,31.3
2025-01-10,-25,1006,28.7,62.0,1.8
2025-01-11,-28,991,-0.3,43.6,38.3
2025-01-12,-24,977,10.4,22.8,20.4
2025-01-13,-25,992,3.4,32.0,17.9
2025-01-14,-25,999,6.6,7.9,44.3
2025-01-15,-22,986,17.7,34.9,6.0
2025-01-16,-23,1004,18.8,27.7,23.6
2025-01-17,-22,1011,9.2,20.3,37.2
2025-01-18,-28,980,2.2,40.2,6.6
2025-01-19,-24,983,13.3,7.6,5.9
2025-01-20,-17,1005,7.3,81.8,36.4
2025-01-21,-22,971,0.9,71.8,-0.8
2025-01-22,-25,998,10.4,6.7,6.3
2025-01-23,-18,1001,10.6,49.1,-3.1
2025-01-24,-21,997,2.5,64.0,9.2
2025-01-25,-25,978,6.7,86.6,32.7
2025-01-26,-21,983,1.9,54.5,10.5
2025-01-27,-26,971,14.4,24.2,56.1
2025-01-28,-23,1000,20.9,54.2,34.8
2025-01-29,-28,983,3.8,93.9,4.8
2025-01-30,-22,990,-2.0,53.0,7.7
2025-01-31,-18,979,26.4,78.7,21.3
