date,temperature,pressure,wind_speed,humidity,precipitation
2025-09-01,4,989,2.8,48.8,44.9
2025-09-02,7,991,15.9,29.7,-4.5
2025-09-03,0,985,13.9,-7.6,13.5
2025-09-04,4,1020,30.4,17.3,-8.4
2025-09-05,9,997,27.6,90.1,22.6
2025-09-06,5,990,13.9,71.9,20.7
2025-09-07,7,994,21.2,71.0,3.5
2025-09-08,11,992,32.2,91.2,4.0
2025-09-09,16,988,1.3,42.3,35.4
2025-09-10,11,1022,30.4,66.9,35.3
2025-09-11,13,1021,27.0,13.5,25.7
2025-09-12,9,992,13.5,66.5,37.9
2025-09-13,8,1001,13.3,52.7,15.2
2025-09-14,5,991,26.5,88.9,31.6
2025-09-15,11,980,-0.7,12.2,30.8
2025-09-16,6,982,21.5,10.1,41.6
2025-09-17,2,1009,32.4,61.0,28.6
2025-09-18,6,987,13.4,75.8,14.5
2025-09-19,3,998,17.5,30.7,21.3
2025-09-20,9,996,19.3,49.5,2.9
2025-09-21,13,1012,32.7,99.7,24.4
2025-09-22,10,1020,28.3,88.7,43.4
2025-09-23,3,999,10.3,61.2,59.1
2025-09-24,2,990,13.8,88.5,29.7
2025-09-25,5,996,31.8,8.9,48.9
2025-09-26,10,988,1.4,27.4,34.2
2025-09-27,11,982,24.1,74.0,40.5
2025-09-28,4,991,23.8,27.0,4.4
2025-09-29,1,1009,5.4,71.0,46.3
2025-09-30,8,1016,15.8,38.8,3.7
