date,temperature,pressure,wind_speed,humidity,precipitation
2024-07-01,4,1019,-0.4,64.9,-4.9
2024-07-02,10,993,21.6,43.6,31.7
2024-07-03,18,1005,3.0,14.2,29.8
2024-07-04,22,1015,19.9,64.1,3.2
2024-07-05,28,1017,20.3,65.7,37.6
2024-07-06,26,1017,22.5,27.4,36.3
2024-07-07,32,1000,22.4,94.3,52.8
2024-07-08,25,999,18.1,37.9,13.7
2024-07-09,31,1013,14.1,51.5,26.0
2024-07-10,25,1010,17.2,65.9,30.2
2024-07-11,28,991,10.6,13.5,24.4
2024-07-12,24,1004,14.6,40.5,53.0
2024-07-13,29,1027,29.5,55.2,49.5
2024-07-14,32,1003,30.8,67.0,29.1
2024-07-15,31,1020,23.2,86.7,-0.0
2024-07-16,34,1027,22.9,36.6,29.7
2024-07-17,27,999,2.9,33.5,44.2
2024-07-18,34,995,23.7,90.6,31.7
2024-07-19,27,1016,26.0,33.4,15.3
2024-07-20,22,1019,19.1,64.5,21.2
2024-07-21,18,1003,23.1,58.1,24.7
2024-07-22,15,996,11.2,26.1,13.3
2024-07-23,20,1001,25.3,40.0,31.9
2024-07-24,24,1024,10.8,45.0,46.6
2024-07-25,21,1031,6.0,53.8,-7.0
2024-07-26,25,1010,10.7,68.5,25.7
2024-07-27,33,1004,23.1,32.1,28.6
2024-07-28,34,1014,13.5,77.7,21.3
2024-07-29,31,994,22.9,45.6,9.3
2024-07-30,32,995,23.6,84.3,4.5
2024-07-31,29,1030,14.6,47.8,7.4
